plot_idx,cues,trials_idx,rewards,forgone_rewards,regrets,perc_opt_actions,entropy,value_fn,policy_0,policy_1,uo_idx,uo_regrets,uo_rewards,uo_forgone_rewards,uo_perc_opt_actions
1,1,6,0.24281882,0.25291982,0.082458965,0.49684343,0.68739426,1.9171152,0.4923064,0.5076936,30,0.0830887,0.25307766,0.24613321,0.49984217
1,1,7,0.25307766,0.24873738,0.07978851,0.5083649,0.68727684,1.9098643,0.49213594,0.50786406,31,0.083466694,0.25149935,0.24684343,0.5059975
1,1,8,0.24629104,0.24644886,0.08244002,0.4938447,0.6870788,1.903436,0.4915841,0.50841594,32,0.081622474,0.25441918,0.25260416,0.5026831
1,1,9,0.24652778,0.25015783,0.08422112,0.48879418,0.68718195,1.8975546,0.49169663,0.50830334,33,0.080976956,0.25339332,0.24337122,0.5037879
1,1,10,0.25031567,0.24187185,0.07972222,0.50063133,0.6870495,1.8856127,0.49192128,0.5080787,34,0.08378709,0.24842171,0.24936868,0.49100378
1,1,11,0.25260416,0.24976325,0.081315495,0.5037879,0.6870077,1.8772082,0.4910356,0.50896436,35,0.08384549,0.24763258,0.24542297,0.50631315
1,1,12,0.25086805,0.24431819,0.08013573,0.50757575,0.6869397,1.8679036,0.49174985,0.5082502,36,0.082608104,0.24810606,0.24810606,0.50363004
1,1,13,0.24905303,0.2516572,0.08293876,0.4971591,0.68683016,1.8588758,0.49147886,0.50852114,37,0.08273753,0.25244632,0.24345012,0.50363004
1,1,14,0.24755366,0.24613321,0.08136522,0.50410354,0.6866915,1.8472068,0.49069005,0.50930995,38,0.083432764,0.25,0.25149935,0.49636996
1,1,15,0.24692234,0.24700126,0.0829064,0.49731693,0.68668574,1.8321735,0.49115837,0.5088416,39,0.08368529,0.2506313,0.24463384,0.5026831
1,1,16,0.2450284,0.24431819,0.080727585,0.5017361,0.68669176,1.822342,0.4910561,0.50894386,40,0.083031885,0.24692234,0.24510732,0.50189394
1,1,17,0.24439709,0.24984217,0.080703914,0.50536615,0.68651825,1.8064603,0.4910619,0.50893813,41,0.08253393,0.25205177,0.25181502,0.5072601
1,1,18,0.24936868,0.24479167,0.0798761,0.5104167,0.6864892,1.7933532,0.491772,0.508228,42,0.08231929,0.25118372,0.24739583,0.5138889
1,1,19,0.24684343,0.24865846,0.08254103,0.49905303,0.6864732,1.7768222,0.49196073,0.50803924,43,0.08336726,0.24455492,0.24850063,0.4993687
1,1,20,0.2504735,0.24534407,0.08174321,0.4982639,0.68643844,1.7624463,0.49197435,0.50802565,44,0.08257734,0.2528409,0.2466067,0.50252527
1,1,21,0.24952652,0.24297664,0.08224747,0.495423,0.686452,1.7442737,0.49175957,0.50824046,45,0.08386838,0.24676453,0.2455808,0.49684343
1,1,22,0.2471591,0.24534407,0.08266493,0.49289772,0.6862646,1.7299771,0.49244922,0.5075508,46,0.0835543,0.2488952,0.2477115,0.49510732
1,1,23,0.25078914,0.24676453,0.08255287,0.4960543,0.6860869,1.7141517,0.49173385,0.50826615,47,0.08213462,0.25402462,0.24936868,0.5052083
1,2,0,0.24534407,0.2516572,0.08431266,0.4960543,0.6866791,1.8438656,0.5065437,0.49345633,48,0.08246291,0.2505524,0.24802715,0.50631315
1,2,1,0.24794823,0.25031567,0.08339883,0.5052083,0.687656,1.885809,0.51346767,0.4865323,49,0.08326862,0.25086805,0.24802715,0.50015783
1,2,2,0.24881628,0.24928977,0.082519725,0.5033144,0.68822825,1.9147407,0.51153594,0.4884641,50,0.08170217,0.25126263,0.24463384,0.5074179
1,2,3,0.25339332,0.2534722,0.0821007,0.50852275,0.6883421,1.9268535,0.50938225,0.49061772,51,0.082866155,0.24984217,0.24850063,0.5015783
1,2,4,0.24479167,0.25252524,0.083403565,0.50015783,0.6884324,1.9291834,0.5077707,0.4922293,52,0.08245186,0.25291982,0.2522096,0.50142044
1,2,5,0.24636994,0.24921086,0.08430161,0.49337122,0.68857205,1.9308124,0.5065478,0.49345222,53,0.08418876,0.2505524,0.25039458,0.49700126
1,2,6,0.25299874,0.25418246,0.08566603,0.49210858,0.688544,1.9267193,0.5056549,0.49434513,54,0.08331282,0.2482639,0.24928977,0.50363004
1,2,7,0.24779041,0.24779041,0.08412957,0.5069444,0.6887492,1.9242345,0.50500953,0.4949905,55,0.08136285,0.24936868,0.24684343,0.50710225
1,2,8,0.25236744,0.25307766,0.082513414,0.5015783,0.6885799,1.9178154,0.50319654,0.49680343,56,0.08352904,0.24992108,0.24692234,0.49289772
1,2,9,0.25252524,0.24510732,0.083081596,0.50363004,0.68869877,1.9125282,0.50145245,0.49854755,57,0.08420849,0.2522096,0.2482639,0.50015783
1,2,10,0.252762,0.24928977,0.08171638,0.50678664,0.688808,1.905945,0.5003565,0.4996435,58,0.08203599,0.2560764,0.25007892,0.49842173
1,2,11,0.2533144,0.24976325,0.08275805,0.49842173,0.6887005,1.8973625,0.49935904,0.5006409,59,0.084882416,0.24621212,0.2482639,0.49573863
