plot_idx,block_idx,block_reward_type,block_forced_type,rewards,forgone_rewards,regrets,perc_opt_actions
2000,19.0,0.0,0.0,0.503125,0.2625,,0.060635414,0.809375
2000,19.0,1.0,1.0,0.50625,0.28333333,,0.04503125,0.83177084
2000,19.0,2.0,0.0,0.503125,0.228125,,0.070031255,0.8
2000,19.0,3.0,1.0,0.4875,0.28125,,0.039135415,0.8515625
2000,20.0,0.0,0.0,0.503125,0.28333333,,0.06453125,0.809375
2000,20.0,1.0,1.0,0.50625,0.31875,,0.044625,0.8276042
2000,20.0,2.0,0.0,0.503125,0.271875,,0.06340625,0.80625
2000,20.0,3.0,1.0,0.4875,0.29895833,,0.04065625,0.84479165
2000,21.0,0.0,0.0,0.503125,0.321875,,0.06252083,0.803125
2000,21.0,1.0,1.0,0.50625,0.27291667,,0.042020835,0.84479165
2000,21.0,2.0,0.0,0.503125,0.29895833,,0.057041664,0.8177083
2000,21.0,3.0,1.0,0.4875,0.28333333,,0.04113542,0.8489583
2000,22.0,0.0,0.0,0.503125,0.290625,,0.06286458,0.8130208
2000,22.0,1.0,1.0,0.50625,0.27291667,,0.044791665,0.8296875
2000,22.0,2.0,0.0,0.503125,0.290625,,0.06277083,0.8119792
2000,22.0,3.0,1.0,0.4875,0.31666666,,0.03886458,0.8567708
2000,23.0,0.0,0.0,0.503125,0.296875,,0.065864585,0.80572915
2000,23.0,1.0,1.0,0.50625,0.27083334,,0.04448958,0.8333333
2000,23.0,2.0,0.0,0.503125,0.278125,,0.06832292,0.7973958
2000,23.0,3.0,1.0,0.4875,0.290625,,0.037677083,0.853125
2000,24.0,0.0,0.0,0.503125,0.26458332,,0.05871875,0.81458336
2000,24.0,1.0,1.0,0.50625,0.28958333,,0.0395,0.8432292
2000,24.0,2.0,0.0,0.503125,0.284375,,0.063625,0.8072917
2000,24.0,3.0,1.0,0.4875,0.278125,,0.0391875,0.846875
2000,25.0,0.0,0.0,0.503125,0.25729167,,0.055572916,0.82395834
2000,25.0,1.0,1.0,0.50625,0.24895833,,0.04217708,0.83697915
2000,25.0,2.0,0.0,0.503125,0.26770833,,0.061385415,0.81041664
2000,25.0,3.0,1.0,0.4875,0.31458333,,0.039447915,0.8515625
2000,26.0,0.0,0.0,0.503125,0.31354168,,0.05839583,0.81927085
2000,26.0,1.0,1.0,0.50625,0.28125,,0.040385418,0.83697915
2000,26.0,2.0,0.0,0.503125,0.2875,,0.059739582,0.81614584
2000,26.0,3.0,1.0,0.4875,0.27708334,,0.04232292,0.8421875
2000,27.0,0.0,0.0,0.503125,0.27083334,,0.056708332,0.8171875
2000,27.0,1.0,1.0,0.50625,0.27604166,,0.035166666,0.84791666
2000,27.0,2.0,0.0,0.503125,0.334375,,0.05661458,0.8208333
2000,27.0,3.0,1.0,0.4875,0.296875,,0.037572917,0.84947914
2000,28.0,0.0,0.0,0.503125,0.26458332,,0.062,0.815625
2000,28.0,1.0,1.0,0.50625,0.26770833,,0.04330208,0.8354167
2000,28.0,2.0,0.0,0.503125,0.31875,,0.054322913,0.821875
2000,28.0,3.0,1.0,0.4875,0.26458332,,0.041875,0.84375
2000,29.0,0.0,0.0,0.503125,0.28125,,0.063354164,0.80625
2000,29.0,1.0,1.0,0.50625,0.26041666,,0.043812502,0.8421875
2000,29.0,2.0,0.0,0.503125,0.28229168,,0.054302085,0.8307292
2000,29.0,3.0,1.0,0.4875,0.284375,,0.035979167,0.8598958
2000,30.0,0.0,0.0,0.503125,0.265625,,0.05559375,0.81458336
2000,30.0,1.0,1.0,0.50625,0.28333333,,0.04002083,0.83802086
2000,30.0,2.0,0.0,0.503125,0.30833334,,0.052885417,0.8286458
2000,30.0,3.0,1.0,0.4875,0.30208334,,0.041145835,0.8520833
2000,31.0,0.0,0.0,0.503125,0.31354168,,0.0649375,0.8109375
2000,31.0,1.0,1.0,0.50625,0.265625,,0.041718747,0.8390625
2000,31.0,2.0,0.0,0.503125,0.290625,,0.055489585,0.83385414
2000,31.0,3.0,1.0,0.4875,0.28958333,,0.036197916,0.85572916
2000,32.0,0.0,0.0,0.503125,0.30208334,,0.05815625,0.81822914
2000,32.0,1.0,1.0,0.50625,0.28333333,,0.036041666,0.8489583
2000,32.0,2.0,0.0,0.503125,0.29791668,,0.060416665,0.82447916
2000,32.0,3.0,1.0,0.4875,0.25833333,,0.037114583,0.8578125
2000,33.0,0.0,0.0,0.503125,0.27604166,,0.059364583,0.8229167
2000,33.0,1.0,1.0,0.50625,0.26875,,0.040927086,0.8390625
2000,33.0,2.0,0.0,0.503125,0.34270832,,0.05690625,0.8328125
2000,33.0,3.0,1.0,0.4875,0.29791668,,0.0335625,0.8598958
2000,34.0,0.0,0.0,0.503125,0.26458332,,0.0535,0.8177083
2000,34.0,1.0,1.0,0.50625,0.26458332,,0.037260417,0.8421875
2000,34.0,2.0,0.0,0.503125,0.284375,,0.04815625,0.8421875
2000,34.0,3.0,1.0,0.4875,0.28541666,,0.034531247,0.85625
2000,35.0,0.0,0.0,0.503125,0.253125,,0.06483333,0.815625
2000,35.0,1.0,1.0,0.50625,0.275,,0.037,0.8510417
2000,35.0,2.0,0.0,0.503125,0.28125,,0.062333334,0.81875
2000,35.0,3.0,1.0,0.4875,0.29166666,,0.038708333,0.8520833
2000,36.0,0.0,0.0,0.503125,0.28854167,,0.05259375,0.82916665
2000,36.0,1.0,1.0,0.50625,0.284375,,0.03828125,0.85
2000,36.0,2.0,0.0,0.503125,0.265625,,0.053927083,0.8296875
2000,36.0,3.0,1.0,0.4875,0.271875,,0.0379375,0.8541667
2000,37.0,0.0,0.0,0.503125,0.31875,,0.063854165,0.80677086
2000,37.0,1.0,1.0,0.50625,0.27291667,,0.0348125,0.85833335
2000,37.0,2.0,0.0,0.503125,0.31145832,,0.05359375,0.8307292
2000,37.0,3.0,1.0,0.4875,0.29166666,,0.03253125,0.85729164
2000,38.0,0.0,0.0,0.503125,0.290625,,0.06001042,0.81666666
2000,38.0,1.0,1.0,0.50625,0.28229168,,0.036708333,0.84947914
2000,38.0,2.0,0.0,0.503125,0.2625,,0.06173958,0.825
