plot_idx,loss,policy_loss,value_loss,entropy_sum
3000,3003,2349.39208984375,-57.44896697998047,4813.68212890625,224.60092163085938
3000,3004,2255.681396484375,-74.89269256591797,4661.14794921875,151.1431884765625
3000,3005,2422.7294921875,-52.75414276123047,4950.96728515625,204.9886474609375
3000,3006,2251.340087890625,-55.08026885986328,4612.8408203125,159.76715087890625
3000,3007,2359.21826171875,-33.09404754638672,4784.62451171875,128.8714599609375
3000,3008,2282.379150390625,-65.09236145019531,4694.94287109375,180.26278686523438
3000,3009,2252.569091796875,-86.2914810180664,4677.72119140625,143.42083740234375
3000,3010,2293.0107421875,-44.360687255859375,4674.74267578125,128.7415771484375
3000,3011,2047.25244140625,-38.50922775268555,4171.5234375,136.53677368164062
3000,3012,2329.38525390625,-22.22282600402832,4703.21630859375,116.78207397460938
3000,3013,2083.44091796875,-99.98942565917969,4366.86083984375,152.0816650390625
3000,3014,2362.390380859375,-45.12760925292969,4815.0361328125,177.866455078125
3000,3015,2163.897705078125,-105.76918029785156,4539.333984375,174.71798706054688
3000,3016,2111.51806640625,-61.182411193847656,4345.40087890625,174.2615203857422
3000,3017,2211.99609375,-49.521209716796875,4523.03466796875,258.6902770996094
3000,3018,2126.48681640625,-49.900291442871094,4352.7744140625,152.54763793945312
3000,3019,2301.837646484375,-25.921531677246094,4655.5185546875,150.05845642089844
3000,3020,2439.835205078125,-41.25253677368164,4962.17529296875,143.97100830078125
3000,3021,2342.284423828125,-81.85232543945312,4848.2734375,151.5546875
3000,3022,2474.001220703125,-68.27819061279297,5084.55859375,139.00588989257812
3000,3023,2230.349609375,-101.33858489990234,4663.37646484375,154.45181274414062
3000,3024,2300.072998046875,-57.81084442138672,4715.767578125,159.76087951660156
3000,3025,2346.831787109375,-31.880279541015625,4757.42431640625,200.93099975585938
3000,3026,2275.251220703125,-29.438648223876953,4609.3798828125,164.99819946289062
3000,3027,2220.0859375,-51.93328094482422,4544.03857421875,178.74075317382812
3000,3028,2047.5953369140625,-34.94074630737305,4165.072265625,172.05577087402344
4000,3999,2229.58642578125,-25.553319931030273,4510.279296875,134.1739959716797
4000,4000,2160.63671875,-45.19700622558594,4411.66748046875,118.1585464477539
4000,4001,2275.6181640625,-8.602420806884766,4568.44140625,115.2479248046875
4000,4002,2081.47802734375,-64.32415771484375,4291.6044921875,101.0323257446289
4000,4003,2114.713623046875,-22.84086799621582,4275.10888671875,115.15850830078125
4000,4004,2273.24755859375,-2.5799074172973633,4551.65478515625,106.75022888183594
4000,4005,1989.4847412109375,-48.35625076293945,4075.681884765625,112.6314468383789
4000,4006,2260.47998046875,-34.58249282836914,4590.125,112.9787368774414
