plot_idx,block_idx,block_feedback_type,rewards,forgone_rewards,regrets,perc_opt_actions
1000,0.0,1.0,1.0,0.036458332,-0.009375,0.29169792,0.54583335
1000,0.0,2.0,0.0,0.030208332,0.0,0.31073958,0.5234375
1000,0.0,3.0,1.0,0.0125,-0.041666668,0.27537498,0.5520833
1000,1.0,0.0,0.0,0.090625,0.0,0.24064584,0.59739584
1000,1.0,1.0,1.0,0.12916666,-0.104166664,0.21247916,0.621875
1000,1.0,2.0,0.0,0.11354167,0.0,0.2348125,0.60052085
1000,1.0,3.0,1.0,0.13333334,-0.15625,0.18428126,0.6515625
1000,2.0,0.0,0.0,0.16666667,0.0,0.19632292,0.6453125
1000,2.0,1.0,1.0,0.14791666,-0.14479166,0.19085416,0.6489583
1000,2.0,2.0,0.0,0.153125,0.0,0.2169375,0.6203125
1000,2.0,3.0,1.0,0.12916666,-0.134375,0.17192708,0.6671875
1000,3.0,0.0,0.0,0.15,0.0,0.18862501,0.65833336
1000,3.0,1.0,1.0,0.15520833,-0.15416667,0.18175,0.6635417
1000,3.0,2.0,0.0,0.14791666,0.0,0.20494792,0.6375
1000,3.0,3.0,1.0,0.17083333,-0.196875,0.1539479,0.675
1000,4.0,0.0,0.0,0.19583334,0.0,0.181125,0.6567708
1000,4.0,1.0,1.0,0.17291667,-0.15729167,0.15822916,0.68645835
1000,4.0,2.0,0.0,0.11770833,0.0,0.19318749,0.65052086
1000,4.0,3.0,1.0,0.119791664,-0.18333334,0.15679167,0.6770833
1000,5.0,0.0,0.0,0.14583333,0.0,0.17428125,0.6692708
1000,5.0,1.0,1.0,0.19375,-0.178125,0.15830208,0.67395836
1000,5.0,2.0,0.0,0.175,0.0,0.17980209,0.66197914
1000,5.0,3.0,1.0,0.17916666,-0.17291667,0.14114584,0.68854165
1000,6.0,0.0,0.0,0.13333334,0.0,0.17470834,0.6734375
1000,6.0,1.0,1.0,0.178125,-0.20416667,0.14033334,0.70416665
1000,6.0,2.0,0.0,0.13541667,0.0,0.17652084,0.66614586
1000,6.0,3.0,1.0,0.16458334,-0.19375,0.13530208,0.709375
1000,7.0,0.0,0.0,0.19583334,0.0,0.16226043,0.68958336
1000,7.0,1.0,1.0,0.20833333,-0.18125,0.1445,0.6958333
1000,7.0,2.0,0.0,0.159375,0.0,0.1655625,0.6703125
1000,7.0,3.0,1.0,0.20833333,-0.22916667,0.13808332,0.696875
1000,8.0,0.0,0.0,0.20208333,0.0,0.15988542,0.68958336
1000,8.0,1.0,1.0,0.18541667,-0.21875,0.13864584,0.70989585
1000,8.0,2.0,0.0,0.22291666,0.0,0.15939584,0.68645835
1000,8.0,3.0,1.0,0.14270833,-0.20208333,0.13815625,0.70416665
1000,9.0,0.0,0.0,0.17708333,0.0,0.16676041,0.69114584
1000,9.0,1.0,1.0,0.14583333,-0.17291667,0.14077084,0.7083333
1000,9.0,2.0,0.0,0.18229167,0.0,0.16385417,0.67395836
1000,9.0,3.0,1.0,0.16875,-0.16145833,0.13724999,0.7057292
1000,10.0,0.0,0.0,0.16770834,0.0,0.1613854,0.69166666
1000,10.0,1.0,1.0,0.18333334,-0.16041666,0.15005209,0.7057292
1000,10.0,2.0,0.0,0.203125,0.0,0.15917708,0.68333334
1000,10.0,3.0,1.0,0.19270833,-0.20625,0.14316668,0.696875
1000,11.0,0.0,0.0,0.17916666,0.0,0.16089584,0.69322914
1000,11.0,1.0,1.0,0.184375,-0.20208333,0.14147916,0.70208335
1000,11.0,2.0,0.0,0.2,0.0,0.156875,0.6869792
1000,11.0,3.0,1.0,0.17604166,-0.18125,0.13547917,0.696875
1000,12.0,0.0,0.0,0.16666667,0.0,0.1543229,0.70104164
1000,12.0,1.0,1.0,0.225,-0.19270833,0.13502082,0.72239584
1000,12.0,2.0,0.0,0.178125,0.0,0.16685417,0.6822917
1000,12.0,3.0,1.0,0.19375,-0.15416667,0.13544792,0.7015625
1000,13.0,0.0,0.0,0.190625,0.0,0.15297917,0.6921875
1000,13.0,1.0,1.0,0.21979167,-0.23333333,0.13586457,0.7114583
1000,13.0,2.0,0.0,0.175,0.0,0.14831251,0.69427085
1000,13.0,3.0,1.0,0.140625,-0.13958333,0.13780208,0.70989585
1000,14.0,0.0,0.0,0.19375,0.0,0.1539375,0.703125
1000,14.0,1.0,1.0,0.18541667,-0.19166666,0.13477084,0.71510416
1000,14.0,2.0,0.0,0.203125,0.0,0.15354165,0.6869792
1000,14.0,3.0,1.0,0.15208334,-0.18958333,0.14257291,0.7015625
1000,15.0,0.0,0.0,0.19791667,0.0,0.14151043,0.70520836
1000,15.0,1.0,1.0,0.18020834,-0.209375,0.14131251,0.7125
1000,15.0,2.0,0.0,0.175,0.0,0.15388541,0.69635415
