agent,cognitive_model,run,nll,bic,beta,alpha_forced,alpha_pos_free,alpha_neg_free,alpha_pos_forced,alpha_neg_forced
human,Model_4alpha,3,204.78157630915047,442.45940867835145,3.2737386915428233,,0.13782571502787339,0.07147389892789398,0.0635644377673672,0.10700781872830398
human,Model_4alpha,4,239.47186293270855,511.8399819254676,1.7773049921828041,,0.6434417863013896,0.11572587519701766,0.00453454385519791,0.3667367599581362
human,Model_4alpha,5,154.4338603632099,341.7639767864703,5.1530394443458105,,0.1352922949740622,0.05698377159634573,0.09531567143937641,0.10332796233460229
human,Model_4alpha,6,263.73256764426975,560.36139134859,1.9950773897555887,,0.10740937592622055,0.20576806297236824,0.020937544213458927,0.3842072944258138
human,Model_4alpha,7,186.48786881276465,405.8719936855798,4.253513936587253,,0.1532933239029688,0.05718263069843757,0.004113035310489536,0.16037430446720502
human,Model_4alpha,8,220.4226390228913,473.7415341058331,3.093234826555929,,0.22797426862762696,0.09303908093755818,0.2649573207516065,0.13124793646192462
human,Model_4alpha,9,89.22562783360183,211.3475117272542,3.8973230718889154,,0.9560173306714362,0.15896091926295805,0.001463866115715453,0.20110404910152305
human,Model_4alpha,10,139.8067897572414,312.5098355745333,4.575785432697619,,0.24592219442006313,0.14679532457522804,0.07934510192080617,0.1286351283406891
human,Model_4alpha,11,102.85421592738236,238.6046879148152,3.091152889176118,,0.6850401592837845,0.0021930390940152677,0.004697515546859373,0.3333367200582641
human,Model_4alpha,12,120.12979976130465,273.1558555826598,3.777102455259142,,0.386874270931625,0.09668699173281851,0.0011142613320095217,0.29460630192526166
human,Model_4alpha,13,329.00200256777936,690.9002611956092,0.6665748398015817,,0.1367510959557685,0.08465762944272534,0.3111062828673853,0.04589440352234248
human,Model_4alpha,14,124.90009136040115,282.6964387808528,5.9550146381980475,,0.16802167059317935,0.0682045423797714,0.12813575034534327,0.14710570504132345
human,Model_4alpha,15,146.10711683486704,325.1104897297846,12.173715092315502,,0.025465322343818934,0.0006142680139094592,0.022483132866540845,0.11700282600478439
human,Model_4alpha,16,163.3420475896104,359.5803512392713,3.6520015048186187,,0.28680159842525865,0.11467821457816532,0.11764467455841884,0.18087596957957724
