agent,cognitive_model,run,nll,bic,beta,alpha_conf,alpha_disconf,alpha_pos_chosen,alpha_pos_unchosen,alpha_neg_chosen,alpha_neg_unchosen
human,Model_4alpha,11,86.41548663106964,205.13831414390788,1.401449447178702,,,0.7439171440409458,0.14826941215856548,0.050470895410015176,0.4863218404171498
human,Model_4alpha,12,32.48291856139307,97.27317800455472,10.22524041845257,,,0.12335046351708652,0.05152262903267689,0.13960100454149627,0.14076311289776816
human,Model_4alpha,13,45.70693699632123,123.72121487441106,3.8055116698674123,,,0.4309192231080834,0.03362514728266158,0.2680285413139962,0.28486465159850755
human,Model_4alpha,14,41.78347129154091,115.87428346485041,6.2560017051701635,,,0.462661177022873,0.1675214827624101,0.002688761337215401,0.04751138448685896
human,Model_4alpha,15,39.24563321391324,110.79860730959507,4.714704650995585,,,0.2593525655454724,0.002696043518881043,0.32153414605089675,0.29059119768805086
human,Model_4alpha,16,64.36044305646605,161.0282269947007,2.6762752990803444,,,0.18091287126267702,0.016529138397296528,0.17114554571439575,0.27284096000258723
human,Model_4alpha,17,52.640157790060414,137.58765646188942,1.8500707891854076,,,0.8957663784183753,0.017895309495257958,0.08256706241534137,0.45350051454096063
human,Model_4alpha,18,27.99434090100606,88.2960226837807,14.294968790300233,,,0.18556082141254243,0.03129274413427306,0.09097530762650928,0.030550642427390234
human,Model_4alpha,19,63.4840695805938,159.2754800429562,1.51033801025409,,,0.8282393518069613,0.016565161568195413,0.08843201547331499,0.36208049119616176
human,Model_4alpha,20,27.495416009348556,87.2981729004657,6.346805418587236,,,0.3385024108670631,0.05546066089934564,0.13977339929401503,0.17845910582278318
human,Model_4alpha,21,45.730332405421954,123.76800569261249,3.1605904964214617,,,0.6607352340435811,0.01367749038732519,0.153141047353287,0.0845709806120186
human,Model_4alpha,22,31.653795544734027,95.61493197123664,4.363126226960185,,,0.41738098176015503,0.007168855124355249,0.3858589924517296,0.18881743990354447
human,Model_4alpha,23,43.3218467951957,118.95103447215999,2.885410379192901,,,0.47406786096373926,0.08137687568951389,0.24517385325304286,0.457265717954838
