,run,trials_idx,context,actions,rewards
127,1,31,1.0,0.0,1.0
128,1,32,2.0,1.0,1.0
129,1,33,2.0,1.0,0.0
130,1,34,1.0,0.0,1.0
131,1,35,1.0,0.0,0.0
132,1,36,3.0,1.0,1.0
133,1,37,2.0,1.0,1.0
134,1,38,1.0,0.0,1.0
135,1,39,1.0,0.0,1.0
136,1,40,2.0,1.0,1.0
137,1,41,3.0,1.0,1.0
138,1,42,0.0,0.0,0.0
139,1,43,0.0,0.0,1.0
140,1,44,3.0,1.0,1.0
141,1,45,0.0,0.0,0.0
142,1,46,0.0,0.0,0.0
143,1,47,3.0,1.0,0.0
144,1,48,2.0,1.0,1.0
145,1,49,0.0,0.0,0.0
146,1,50,2.0,1.0,1.0
147,1,51,3.0,1.0,0.0
148,1,52,2.0,1.0,1.0
149,1,53,0.0,0.0,1.0
150,1,54,1.0,0.0,1.0
151,1,55,2.0,1.0,0.0
152,1,56,0.0,1.0,0.0
153,1,57,1.0,0.0,0.0
154,1,58,3.0,1.0,1.0
155,1,59,1.0,0.0,1.0
156,1,60,1.0,0.0,1.0
157,1,61,3.0,1.0,1.0
158,1,62,0.0,0.0,0.0
159,1,63,3.0,1.0,1.0
160,1,64,2.0,1.0,0.0
161,1,65,2.0,1.0,1.0
162,1,66,2.0,1.0,1.0
163,1,67,0.0,0.0,0.0
164,1,68,3.0,1.0,1.0
165,1,69,1.0,0.0,0.0
166,1,70,0.0,0.0,1.0
167,1,71,1.0,0.0,1.0
168,1,72,1.0,0.0,1.0
169,1,73,3.0,1.0,1.0
170,1,74,0.0,1.0,0.0
171,1,75,1.0,0.0,1.0
172,1,76,3.0,1.0,0.0
173,1,77,3.0,1.0,1.0
174,1,78,2.0,1.0,1.0
175,1,79,0.0,1.0,0.0
176,1,80,3.0,1.0,1.0
177,1,81,3.0,1.0,1.0
178,1,82,3.0,1.0,1.0
179,1,83,1.0,0.0,1.0
180,1,84,2.0,1.0,1.0
181,1,85,0.0,1.0,0.0
182,1,86,0.0,0.0,0.0
183,1,87,1.0,0.0,1.0
184,1,88,1.0,0.0,1.0
185,1,89,0.0,0.0,1.0
186,1,90,0.0,0.0,0.0
187,1,91,2.0,1.0,1.0
188,1,92,2.0,1.0,0.0
189,1,93,3.0,1.0,0.0
190,1,94,2.0,1.0,1.0
191,1,95,1.0,0.0,0.0
192,2,0,2.0,1.0,0.0
193,2,1,3.0,0.0,0.0
194,2,2,3.0,1.0,1.0
195,2,3,2.0,0.0,0.0
196,2,4,1.0,1.0,1.0
197,2,5,1.0,1.0,0.0
198,2,6,2.0,0.0,0.0
199,2,7,2.0,1.0,1.0
200,2,8,1.0,1.0,0.0
201,2,9,0.0,1.0,0.0
202,2,10,0.0,0.0,0.0
203,2,11,1.0,1.0,0.0
204,2,12,3.0,0.0,1.0
205,2,13,0.0,1.0,0.0
206,2,14,0.0,1.0,1.0
207,2,15,3.0,0.0,1.0
208,2,16,0.0,1.0,0.0
209,2,17,3.0,0.0,0.0
210,2,18,2.0,1.0,1.0
211,2,19,3.0,0.0,1.0
212,2,20,0.0,1.0,0.0
213,2,21,1.0,1.0,0.0
214,2,22,1.0,1.0,1.0
215,2,23,3.0,0.0,1.0
216,2,24,3.0,0.0,1.0
217,2,25,0.0,1.0,1.0
218,2,26,2.0,1.0,1.0
219,2,27,0.0,1.0,0.0
