agent,cognitive_model,run,nll,bic,beta,alpha,alpha_pos,alpha_neg
gpt-4,Model_2alpha,10,11.173643887993201,36.04033235038991,16.338566613059413,,0.6292621324348582,0.1165460650620219
gpt-4,Model_2alpha,11,7.61613799391463,28.92532056223277,11.805967347107144,,0.8396450503120957,0.03568048435033897
gpt-4,Model_2alpha,12,16.26917401011783,46.23139259463917,12.80754454272232,,0.9493858726961129,0.08491278381340736
gpt-4,Model_2alpha,13,15.611938988406093,44.91692255121569,16.54771096802162,,0.8551751033115857,0.14961037399657284
gpt-4,Model_2alpha,14,9.032309158626461,31.75766289165643,13.596505628727295,,0.9059768880986715,0.1481401484270581
gpt-4,Model_2alpha,15,21.436460356067748,56.565965286539004,9.58579796802237,,0.9165954540320662,0.16022990922652736
gpt-4,Model_2alpha,16,8.528491622834938,30.750027820073385,13.424145700584747,,0.8685986265239244,0.10681462451233184
gpt-4,Model_2alpha,17,13.680184584470982,41.05341374334547,16.499626538439635,,0.8063713882220561,0.24880562605926573
gpt-4,Model_2alpha,18,11.541494853438358,36.776034281280225,12.71250883824156,,0.9156501533119041,0.05207294254519358
gpt-4,Model_2alpha,19,13.249965372342443,40.19297531908839,16.828070086444068,,0.3640216181389409,0.11703924268289849
gpt-4,Model_2alpha,20,15.576924866152126,44.84689430670776,11.344453893198594,,0.8960511810556935,0.07856123744009269
gpt-4,Model_2alpha,21,31.738011794988495,77.16906816438049,6.757658635104668,,0.975270401934541,0.6688298040519932
gpt-4,Model_2alpha,22,19.6514038950951,52.99585236459371,10.701843187081005,,0.8212203891697762,0.002526155802436045
gpt-4,Model_2alpha,23,14.597849186160655,42.88874294672482,13.815946597628875,,0.7020894757833342,0.15350843960559787
gpt-4,Model_2alpha,24,10.023752820450031,33.74055021530357,12.612435879713269,,0.8707310960825918,0.0528198774853991
gpt-4,Model_2alpha,25,11.810739456440206,37.31452348728392,11.892450044153946,,0.8701075200650726,0.013645920652563722
gpt-4,Model_2alpha,26,19.11827056610541,51.929585706614326,12.336687741983765,,0.39016477661613574,0.03164447443176674
gpt-4,Model_2alpha,27,23.816319666718048,61.325683907839604,10.581568351132084,,0.8156735586686475,0.0017061030429359983
gpt-4,Model_2alpha,28,23.26473239239748,60.22250935919847,11.331177743363133,,0.5145804112269308,0.016698275929404847
gpt-4,Model_2alpha,29,60.429212161199985,134.55146889680347,2.216439075988485,,0.983132457073925,0.986783934956704
gpt-4,Model_2alpha,30,9.631093719323378,32.955232013050264,12.416182207822756,,0.8773621398222359,0.03521070733574774
gpt-4,Model_2alpha,31,20.59925674890603,54.89155807221557,13.286624140437297,,0.887889477305142,0.23643980754898766
gpt-4,Model_2alpha,32,19.52413954358417,52.74132366157185,10.094696202950404,,0.6227099340775509,0.022314229950253815
gpt-4,Model_2alpha,33,48.02395423289355,109.74095304019062,3.6401593032967448,,0.9774201792852848,0.5388564772375863
gpt-4,Model_2alpha,34,11.033733953434997,35.7605124812735,13.29811233156993,,0.8940424492959603,0.10680984019067646
gpt-4,Model_2alpha,35,12.620249673066446,38.9335439205364,12.49291102908547,,0.8877035666382975,0.06737855588141327
gpt-4,Model_2alpha,36,9.704258943593302,33.10156246159011,11.894172016642141,,0.8249268255391604,0.01947980043542082
gpt-4,Model_2alpha,37,9.03379150560507,31.760627585613648,11.779407463342565,,0.8359593848934659,0.020796258235313336
gpt-4,Model_2alpha,38,12.41384291823227,38.52073041086805,13.185275655995953,,0.8125174469283224,0.08994747774938687
gpt-4,Model_2alpha,39,11.38294605184496,36.45893667809343,15.379018601124416,,0.6654570323406238,0.12446464800903488
gpt-4,Model_2alpha,40,10.156684082346501,34.00641273909651,12.395001083248452,,0.8424258873333612,0.049096805802624925
gpt-4,Model_2alpha,41,11.26844223422794,36.22992904285939,15.065366418953523,,0.6206240021312175,0.10314743202232315
gpt-4,Model_2alpha,42,9.58172213753655,32.856488849476605,12.029811732497178,,0.827469557423435,0.0311822585046903
gpt-4,Model_2alpha,43,9.251601508396405,32.19624759119632,12.696479241789516,,0.864685364054786,0.07991729884293874
gpt-4,Model_2alpha,44,12.490165241985242,38.67337505837399,11.079388094963983,,0.5467375605855499,0.02103110214627029
gpt-4,Model_2alpha,45,13.814969317319346,41.3229832090422,11.077052817852778,,0.42321104739024346,0.010489122293235995
gpt-4,Model_2alpha,46,11.643604173169535,36.98025292074258,14.69033627760481,,0.8940576222434881,0.20025059315128624
gpt-4,Model_2alpha,47,15.871365145478036,45.435774865359576,14.149366517912458,,0.33466840326313957,0.04773226011857719
gpt-4,Model_2alpha,48,21.731165323778942,57.15537522196139,12.112598755417325,,0.3743689320966305,0.038036515669999715
gpt-4,Model_2alpha,49,12.084316734489182,37.86167804338187,14.180303857217446,,0.5233857502641418,0.06834913700869807
