agent,cognitive_model,run,nll,bic,beta,alpha_forced,alpha_pos_free,alpha_neg_free,alpha_pos_forced,alpha_neg_forced
meta-rl,Model_3alpha,14,13.54335235061602,51.78184911683979,12.482977586757817,0.15824094193306457,0.26168063585955165,0.08338685342644603,,
meta-rl,Model_3alpha,15,14.507512498500878,53.7101694126095,13.027656901476373,0.14120965687339984,0.2508308494236651,0.11032281007825033,,
meta-rl,Model_3alpha,16,15.222493895431919,55.140132206471584,8.90528982595004,0.14036167073032824,0.3244860906147386,0.10010665367827938,,
meta-rl,Model_3alpha,17,15.075557026694067,54.846258468995885,21.22571108517806,0.12327220256251478,0.12935661215969962,0.09826917209448725,,
meta-rl,Model_3alpha,18,38.750033024951165,102.19521046551007,13.353164231565522,0.12941511489320726,0.20447656916191348,0.04452228000283399,,
meta-rl,Model_3alpha,19,24.46048168018757,73.61610777598288,14.956428126019258,0.10427760974313742,0.15721876013965377,0.04307021813239954,,
meta-rl,Model_3alpha,20,26.480736112709444,77.65661664102663,8.458109014013974,0.15471819196854064,0.31177204370630596,0.03604313193077985,,
meta-rl,Model_3alpha,21,10.316992401534783,45.32912921867731,14.864586636655673,0.14512073884780394,0.19937095570368493,0.09040821076018148,,
meta-rl,Model_3alpha,22,22.199971693476954,69.09508780256165,22.740562675191548,0.10306368636437975,0.09493605389023704,0.06034602724889281,,
meta-rl,Model_3alpha,23,8.37662227033907,41.44838895628588,15.927958670462818,0.1884273537004742,0.5400864758446506,0.19968495958724397,,
meta-rl,Model_4alpha,0,12.72310932080028,56.31514916111024,16.610622365531796,,0.1235480482973952,0.00970363885345487,0.13151410976965872,0.19972289353926442
meta-rl,Model_4alpha,1,33.91493308513777,98.69879668978521,11.793235649785702,,0.13282841753569485,0.09098337885649867,0.07117201806886905,0.2570236788564614
meta-rl,Model_4alpha,2,17.249150850865437,65.36723222124056,12.423747492396686,,0.19704999924795533,0.04347563446980566,0.16154069215314934,0.10841989677412114
meta-rl,Model_4alpha,3,19.372072275772638,69.61307507105496,12.77923776572147,,0.20991994371675352,0.0607662811280128,0.1661070996942594,0.1867947582824484
meta-rl,Model_4alpha,4,22.384471443357025,75.63787340622373,12.745533984233578,,0.15358865885479858,0.020168039453071235,0.16895618877757151,0.12782737202641006
